Generation, Pareto Front, Average Fitness, Average Complexity
./generations/generation26,3,3.14528,30.1667
./generations/generation26,4,1.64761,47
./generations/generation26,5,3.09032,36.8846
./generations/generation26,6,1.95453,46.4
./generations/generation26,7,1.69476,44.6364
./generations/generation26,8,1.53452,47
./generations/generation27,all,2.36888,41.02
./generations/generation27,1,1.17756,53.5833
./generations/generation27,2,3.30484,29.4545
./generations/generation27,3,1.3322,48.8
./generations/generation27,4,2.65713,32.0714
./generations/generation27,5,1.69248,42.3333
./generations/generation27,6,2.07962,49
./generations/generation27,7,4.94638,37.6667
./generations/generation27,8,4.77129,22
./generations/generation28,all,1.9108,43.62
./generations/generation28,1,1.54323,44.4783
./generations/generation28,2,1.04398,56.1667
./generations/generation28,3,1.57352,39.3333
./generations/generation28,4,2.00606,44.7419
./generations/generation28,5,3.26498,26.6
./generations/generation28,6,2.81336,35.25
./generations/generation28,7,1.31886,48.3333
./generations/generation28,8,2.74269,37.4444
./generations/generation29,all,1.81052,44.17
./generations/generation29,1,1.63143,44.1724
./generations/generation29,2,1.04581,55.4286
./generations/generation29,3,2.54325,33.8571
./generations/generation29,4,2.41932,38.875
./generations/generation29,5,2.0228,42.6471
./generations/generation29,6,1.64594,45.25
./generations/generation30,all,1.60191,45.26
./generations/generation30,1,1.72814,34.3636
./generations/generation30,2,1.68329,49
./generations/generation30,3,1.18294,54.2667
./generations/generation30,4,1.46601,39.8571
./generations/generation30,5,1.83915,40.25
./generations/generation30,6,1.94806,47.8235
./generations/generation30,7,2.5127,21
./generations/generation31,all,1.48289,45.36
./generations/generation31,1,1.71842,34.697
./generations/generation31,2,1.17309,46.4286
./generations/generation31,3,1.49368,47.2222
./generations/generation31,4,1.41358,55.4286
./generations/generation31,5,1.4641,41.3333
./generations/generation31,6,1.10636,53.7692
./generations/generation31,7,1.79478,35.5
./generations/generation32,all,1.62683,39.68
./generations/generation32,1,1.86484,29.1
./generations/generation32,2,1.58565,38.7143
./generations/generation32,3,1.48042,48.2
./generations/generation32,4,1.24038,58.5556
./generations/generation32,5,1.62442,38.7778
./generations/generation32,6,2.01256,37.5
./generations/generation32,7,1.05049,51
./generations/generation33,all,1.6972,35.9
./generations/generation33,1,1.40645,40.0667
./generations/generation33,2,1.56743,36.3333
./generations/generation33,3,1.83955,31.4898
./generations/generation33,4,1.30061,53
./generations/generation33,5,3.30921,13
./generations/generation33,6,1.71792,32
./generations/generation34,all,1.83137,31.58
./generations/generation34,1,1.4316,39.25
./generations/generation34,2,2.12228,24.8
./generations/generation34,3,1.00458,49.6667
./generations/generation34,4,2.00002,26.5417
./generations/generation34,5,3.37178,16.6
./generations/generation34,6,2.64063,15
./generations/generation35,all,1.70289,33.6
./generations/generation35,1,1.46444,38.0909
./generations/generation35,2,1.94429,28.2
./generations/generation35,3,2.04841,24.8824
./generations/generation35,4,0.972095,55
./generations/generation35,5,1.03761,49.3077
./generations/generation35,6,2.18522,21.1818
./generations/generation35,7,1.224,44
./generations/generation35,8,3.20047,7
./generations/generation35,9,4.37302,7
./generations/generation36,all,1.63075,33.88
./generations/generation36,1,1.50044,36.35
./generations/generation36,2,1.64096,30
./generations/generation36,3,1.84285,30
./generations/generation36,4,2.02851,24.7778
./generations/generation36,5,1.22415,44
./generations/generation36,6,2.11088,22.4286
./generations/generation36,7,1.68406,37
./generations/generation37,all,1.49256,36.62
./generations/generation37,1,1.59121,31.9091
./generations/generation37,2,1.47865,40.75
./generations/generation37,3,1.61164,33
./generations/generation37,4,1.6777,35
./generations/generation37,5,1.08939,47.8
./generations/generation37,6,1.59331,34.1429
./generations/generation37,7,1.0289,49.7273
./generations/generation38,all,1.61665,32.74
./generations/generation38,1,1.5866,31.7059
./generations/generation38,2,2.21788,17.8571
./generations/generation38,3,1.16286,47.1905
./generations/generation38,4,1.08452,50.2
./generations/generation38,5,2.16506,20
./generations/generation39,all,1.71436,28.62
./generations/generation39,1,1.33305,37.45
./generations/generation39,2,1.74053,27.8696
./generations/generation39,3,2.17904,17.2667
./generations/generation39,4,1.25109,43
./generations/generation39,5,2.23933,19
./generations/generation40,all,1.77911,30.3
./generations/generation40,1,1.63558,37.3462
./generations/generation40,2,1.95781,21.9333
./generations/generation40,3,1.33725,41
./generations/generation40,4,2.08503,19
./generations/generation41,all,1.85821,32.1
./generations/generation41,1,1.82029,36.6716
./generations/generation41,2,1.21418,41
./generations/generation41,3,2.06468,21
./generations/generation41,4,1.88459,23.1053
./generations/generation42,all,1.79406,33.46
./generations/generation42,1,1.92517,38
./generations/generation42,2,1.52323,31.5
./generations/generation42,3,0.894379,54.3333
./generations/generation42,4,2.32982,13.5455
./generations/generation43,all,1.72824,33.76
./generations/generation43,1,2.20872,37.7368
./generations/generation43,2,1.33308,33.1538
./generations/generation43,3,1.9573,21.8
./generations/generation44,all,1.74178,33.08
./generations/generation44,1,2.14388,36.8049
./generations/generation44,2,1.54777,31.1538
./generations/generation44,3,1.24949,33.5405
./generations/generation44,4,1.81149,29
./generations/generation44,5,2.41545,11
./generations/generation45,all,2.31885,34.74
./generations/generation45,1,1.81482,33.381
./generations/generation45,2,6.04534,35.5882
./generations/generation45,3,1.59016,27.4211
./generations/generation45,4,1.03086,43
./generations/generation46,all,3.10351,31.08
./generations/generation46,1,1.93517,32.6667
./generations/generation46,2,4.95391,28.6364
./generations/generation46,3,1.29585,34.7647
./generations/generation46,4,1.91234,23
./generations/generation46,5,1.31491,39
./generations/generation47,all,4.92142,26.96
./generations/generation47,1,2.28948,30.9355
./generations/generation47,2,0.856528,54.5
./generations/generation47,3,7.35411,21.8364
./generations/generation47,4,1.6399,16.6667
./generations/generation48,all,2.14012,31.66
./generations/generation48,1,1.34111,31.3784
./generations/generation48,2,1.95685,48.8462
./generations/generation48,3,3.82473,42.7273
./generations/generation48,4,1.89268,18.125
./generations/generation48,5,2.32788,9.28571
./generations/generation48,6,1.64594,15
./generations/generation49,all,2.4484,30.86
./generations/generation49,1,1.28073,33.6
./generations/generation49,2,1.51764,32.2308
./generations/generation49,3,0.766099,57.6667
./generations/generation49,4,2.25883,15.8235
./generations/generation49,5,7.8233,21.5
./generations/generation49,6,0.92225,52.2
./generations/generation49,7,16.4346,5
./generations/generation50,all,1.38447,31.96
./generations/generation50,1,1.48337,28.5882
./generations/generation50,2,1.18439,39.9655
./generations/generation50,3,1.34197,32.2667
./generations/generation50,4,1.55386,15
./generations/generation50,5,1.53908,17
./generations/generation50,6,2.18971,12.5
./generations/generation51,all,1.39662,31.1
./generations/generation51,1,1.20199,36
./generations/generation51,2,1.6608,28.4286
./generations/generation51,3,1.63179,23.4737
./generations/generation51,4,1.0523,40.1818
./generations/generation52,all,1.38136,31.72
./generations/generation52,1,1.2521,34.8889
./generations/generation52,2,0.682698,55
./generations/generation52,3,2.43891,5.36364
./generations/generation52,4,1.31619,32.0952
./generations/generation52,5,2.40382,7
./generations/generation53,all,1.36121,31.84
./generations/generation53,1,1.21555,36.381
./generations/generation53,2,1.16834,35.6
./generations/generation53,3,1.26448,29
./generations/generation53,4,2.25393,9.61538
./generations/generation53,5,2.01384,13
./generations/generation53,6,2.38605,7.66667
./generations/generation53,7,1.47061,20
./generations/generation53,8,1.03086,41
./generations/generation54,all,1.43057,29.58
./generations/generation54,1,1.26012,35.0377
./generations/generation54,2,1.22121,33.4348
./generations/generation54,3,1.39336,23.5
./generations/generation54,4,1.41867,27
./generations/generation54,5,2.43551,5.42857
./generations/generation55,all,1.28779,32.86
./generations/generation55,1,1.60369,22.5862
./generations/generation55,2,1.06468,40.9565
./generations/generation55,3,0.740392,53.6667
./generations/generation55,4,1.58332,15
./generations/generation55,5,1.74578,18
./generations/generation56,all,1.26276,33.68
./generations/generation56,1,1.65105,20
./generations/generation56,2,1.18734,32.7778
./generations/generation56,3,1.02095,42.7818
./generations/generation57,all,1.35912,29.42
./generations/generation57,1,1.66475,20.7143
./generations/generation57,2,1.38329,21
./generations/generation57,3,0.998516,43.1538
./generations/generation57,4,1.14257,35.3448
./generations/generation57,5,0.932339,51
./generations/generation58,all,1.46936,25.84
./generations/generation58,1,1.67129,21.1356
./generations/generation58,2,1.41736,19.5333
./generations/generation58,3,0.995213,44.0769
./generations/generation58,4,1.26936,27
